target,label,status,error_message,period_d,duration_hr,C1_depth_ppm,C2_shape_flatbottom_ratio,C3_ingress_egress_symmetry,C4_odd_even_rel_diff,C5_secondary_eclipse_ppm,C6_centroid_shift_px,C7_phase_fold_coherence,n_epochs
TOI-1260.01,planet,ok,,28.84643,6.576,372.2927,0.5939,0.5481,nan,0.0000,0.0008,nan,1
TOI-5716.01,planet,ok,,26.07611,0.480,5375.2629,0.8424,0.6731,0.1437,880.9476,0.0030,0.8783,4
TOI-4480.01,planet,ok,,14.81778,0.480,961.5119,0.0000,0.6086,nan,0.0000,0.0035,0.0000,6
TOI-1243.01,planet,ok,,18.63841,0.864,1331.2865,0.6689,0.2639,0.7329,141.4818,0.0005,0.4881,6
TOI-4552.01,planet,ok,,21.83653,0.480,894.3692,0.6291,0.6173,nan,0.0000,0.0196,0.0000,4
TOI-1301.01,planet,ok,,6.09671,1.632,691.0186,0.6193,0.4814,0.1061,8.0424,0.0001,0.7747,14
TOI-654.01,planet,ok,,3.05496,0.864,1301.1794,0.6788,0.2564,0.5089,502.9504,0.0004,0.1856,29
TOI-1752.01,planet,ok,,0.50295,9.600,198.2270,0.7007,0.9566,0.0289,nan,nan,0.7333,180
TOI-6008.01,planet,ok,,20.01620,1.248,1538.1592,0.7009,0.1030,0.3411,-363.9053,0.0009,0.5975,7
TOI-1743.01,planet,ok,,1.06646,0.480,851.5900,0.4028,0.2225,0.9976,63.1272,0.0001,0.0493,68
TOI-2445.01,planet,ok,,24.09056,0.480,6058.8837,0.8350,0.4374,nan,1080.0931,0.0402,0.8995,2
TOI-3261.01,planet,ok,,0.88354,1.632,723.3984,0.8506,0.1614,0.0724,21.8989,0.0003,0.5087,88
TOI-521.01,planet,ok,,0.77143,1.248,806.9282,0.8633,0.9029,1.8045,-12.2500,0.0005,0.0321,116
TOI-1410.01,planet,ok,,1.21692,0.864,118.9905,0.0000,nan,nan,0.0000,0.0001,0.0000,54
TOI-5528.01,planet,ok,,15.17477,0.480,975.9110,0.7374,0.5093,nan,0.0000,0.0304,0.0000,4
TOI-1695.01,planet,ok,,3.13461,0.864,961.9273,0.3550,0.6445,0.1838,1.7874,0.0004,0.7319,32
TOI-6086.01,planet,ok,,29.92034,0.480,5893.3898,0.9665,0.3043,nan,-1096.9134,0.0026,0.8114,3
TOI-2184.01,planet,identify_error,The maximum transit duration must be shorter than the minimum period,,,,,,,,,,
TOI-771.01,planet,ok,,2.32623,0.864,1461.0711,0.9251,0.3780,0.0920,28.7303,0.0003,0.6494,39
TOI-2337.01,planet,ok,,27.27983,0.480,1783.0957,0.5913,0.2909,nan,330.1886,0.0030,0.7770,3
TOI-857.01,planet,ok,,3.90796,3.120,3418.2105,0.8492,0.9950,0.0756,-18.4187,0.0021,0.9367,5
TOI-4600.01,planet,ok,,19.11341,2.400,996.5964,0.9899,0.5510,0.0092,16.5458,0.0004,0.7717,5
TOI-7250.01,planet,no_data,,,,,,,,,,,
TOI-628.01,planet,ok,,3.40925,3.504,1115.7280,0.9169,0.6406,0.1429,0.0000,0.0028,0.8750,6
TOI-1806.01,planet,ok,,25.94629,1.248,4409.8986,0.6164,0.1550,nan,-350.4439,0.0194,0.9786,2
TOI-5632.01,planet,ok,,4.23433,2.016,3848.7527,0.8014,0.9852,nan,2.2650,0.0038,0.9214,3
TOI-4336.01,planet,ok,,19.48515,0.480,1868.0928,0.5894,0.3643,nan,0.0000,0.0077,nan,1
TOI-2257.01,planet,ok,,21.65067,0.480,3887.1069,0.9147,0.0786,0.4163,589.6151,0.0047,0.7891,5
TOI-5374.01,planet,ok,,2.91696,2.784,5246.9026,0.7340,0.9904,0.0629,9.6857,0.0003,0.8348,8
TOI-7480.01,planet,ok,,5.08371,4.656,2000.1670,0.9718,0.0722,0.0435,-28.7210,0.0025,0.8950,5
TOI-2180.01,planet,ok,,25.60111,0.480,496.4258,0.9249,0.2837,nan,-11.9504,0.0000,0.8793,3
TOI-5152.01,planet,ok,,2.62421,0.480,150.5498,0.7469,0.7971,0.2110,0.0000,0.0014,0.4554,18
TOI-2529.01,planet,ok,,22.74522,7.680,425.7868,0.8670,0.8443,nan,27.6775,0.0168,0.1317,2
TOI-2587.01,planet,ok,,5.45657,3.120,1892.1925,0.5709,0.6562,0.0230,-49.4644,0.0008,0.9399,4
TOI-7909.01,planet,ok,,16.83283,0.480,2661.6209,0.7181,0.6328,0.7220,29.1013,0.0027,0.4221,7
TOI-1840.01,planet,ok,,15.69107,5.424,2872.1148,0.8895,0.9928,0.0774,nan,0.0008,0.8822,4
TOI-1921.01,planet,ok,,3.61551,0.480,486.7066,0.0584,0.0833,2.0000,0.0000,0.0011,0.0000,13
TOI-1933.01,planet,ok,,14.18052,0.480,1522.0086,0.7213,0.2602,nan,0.0000,0.0074,0.9738,2
TOI-1580.01,planet,ok,,4.79563,4.272,1073.9149,0.5410,0.7744,0.5100,0.0000,0.0004,0.6821,10
TOI-640.01,planet,ok,,5.00510,2.784,3374.9783,0.4360,0.8771,0.0122,6.7652,0.0003,0.5672,13
TOI-828.01,planet,ok,,21.28778,3.120,1376.3066,0.6773,0.6635,0.1395,0.0000,0.0010,0.7300,5
TOI-201.01,planet,ok,,26.49210,3.888,2993.6316,0.6516,0.6381,2.0086,1.4305,0.0002,-0.0044,4
TOI-4010.01,planet,ok,,0.53540,9.600,27.7084,0.8209,nan,nan,nan,nan,0.0000,167
TOI-3218.01,planet,ok,,9.34793,0.480,1250.3203,0.4589,0.4682,nan,0.0000,0.0095,0.9382,3
TOI-1914.01,planet,ok,,16.10913,0.480,1563.2932,0.5950,0.7507,nan,0.0000,0.0037,0.8456,2
TOI-4438.01,planet,ok,,7.44499,0.480,604.8725,0.8529,0.9005,nan,0.0000,0.0004,0.0000,13
TOI-1493.01,planet,ok,,5.14671,8.832,126.5863,0.9673,nan,0.1135,0.0000,0.0007,0.6754,10
TOI-6963.01,planet,ok,,27.49225,9.600,10185.4500,0.6787,0.4725,nan,87.9405,0.0013,0.9893,2
TOI-1333.01,planet,ok,,27.24147,3.888,1093.1555,0.7099,0.1014,nan,0.0000,0.0006,-2.8329,2
TOI-4581.01,planet,ok,,16.25458,0.480,6757.2635,0.0000,0.8792,0.4319,0.0000,0.0044,0.0000,4
TOI-6278.01,planet,ok,,7.53350,5.424,200.3003,0.1160,nan,2.0000,0.0000,0.0007,0.0000,13
TOI-1603.01,planet,ok,,4.76318,4.656,2763.3202,0.5228,0.7717,0.1401,-5.2444,0.0016,0.7082,9
TOI-2380.01,planet,ok,,5.19097,5.040,423.2385,0.2335,0.4276,0.5255,0.0000,0.0008,0.1972,11
TOI-1107.01,planet,ok,,4.07814,4.272,384.7781,0.9744,0.4680,0.1655,0.0000,0.0004,0.8481,13
TOI-2015.01,planet,ok,,3.34408,0.864,3324.8663,0.7272,0.5207,0.3594,547.9608,0.0009,0.4917,13
TOI-435.01,planet,ok,,3.35294,1.632,2644.0976,0.5576,0.6926,0.1270,219.0508,0.0006,0.8472,29
TOI-1781.01,planet,ok,,2.98415,3.120,2235.9099,0.6242,0.5917,0.0941,-34.6649,0.0003,0.8534,20
TOI-1728.01,planet,ok,,3.49160,1.632,199.0188,0.9596,0.8961,nan,0.0000,0.0002,0.0000,20
TOI-6081.01,planet,ok,,25.12611,0.480,18253.6715,0.7397,0.2661,0.0581,-291.1676,0.0023,0.8101,4
TOI-626.01,planet,ok,,4.40029,4.272,719.2654,0.6318,0.3128,0.4340,0.0000,0.0007,0.6413,13
TOI-6030.01,planet,ok,,29.68727,8.064,9369.4248,0.6381,0.7966,nan,0.0000,0.0122,nan,1
TOI-5467.01,planet,ok,,2.65642,2.016,2497.7291,0.8065,0.8720,0.0433,93.9057,0.0012,0.8322,16
TOI-660.01,planet,ok,,9.29778,5.040,242.2898,0.9557,nan,2.0000,0.0000,0.0028,0.0000,6
TOI-7474.01,planet,ok,,1.25751,0.480,2140.1154,0.3167,0.9955,0.0316,0.0000,0.0004,0.9097,14
TOI-1199.01,planet,ok,,3.67157,2.016,2669.1202,0.6263,0.8845,0.0010,11.2054,0.0003,0.8239,16
TOI-453.01,planet,ok,,2.70387,4.656,648.9315,0.1989,0.8792,0.0748,0.0000,0.0002,0.6736,25
TOI-3568.01,planet,ok,,4.41799,2.400,3890.0500,0.6394,0.8988,0.0477,-41.5005,0.0013,0.8940,22
TOI-2020.01,planet,ok,,5.63351,3.888,4637.6285,0.7728,0.9848,0.0137,-6.7353,0.0001,0.9788,17
TOI-2152.01,planet,ok,,3.37654,3.120,186.0147,0.9969,nan,2.0000,0.0000,0.0014,0.0000,19
TOI-2014.01,planet,ok,,4.81038,6.576,2093.7373,0.5882,0.9798,0.0168,0.1207,0.0002,0.8784,20
TOI-4445.01,planet,ok,,8.45105,2.016,3897.2145,0.7406,0.2663,0.0803,-163.2503,0.0026,0.8775,12
TOI-123.01,planet,ok,,3.30868,5.040,594.2081,0.2225,0.6769,0.1169,0.0000,0.0002,0.7264,21
TOI-5086.01,planet,ok,,2.99595,1.632,248.3494,0.8543,nan,nan,0.0000,0.0004,0.0000,29
TOI-2199.01,planet,ok,,15.39899,0.480,185.1094,0.9983,0.6710,0.1649,0.0000,0.0043,0.0000,4
TOI-840.01,planet,ok,,7.59841,1.632,4084.9754,0.5765,0.2381,0.1527,643.3646,0.0013,0.6503,12
TOI-1135.01,planet,ok,,16.05691,2.784,1327.1357,0.6235,0.7946,0.7722,-118.4170,0.0017,0.6606,5
TOI-143.01,planet,ok,,11.55476,3.120,3478.4737,0.6328,0.9797,0.0504,-46.9725,0.0019,0.7890,7
TOI-661.01,planet,ok,,2.04300,3.888,307.9040,0.0000,nan,2.1361,0.0000,0.0001,0.0000,33
TOI-4306.01,planet,ok,,13.64946,0.864,8298.0577,0.6926,0.7284,0.2207,416.6936,0.0058,0.5611,8
TOI-104.01,planet,ok,,4.08756,6.960,191.0689,0.0000,nan,0.0936,0.0000,0.0005,0.1793,18
TOI-5523.02,planet,ok,,16.78858,0.480,547.7147,0.9419,0.5377,nan,0.0000,0.0487,0.0000,4
TOI-2416.01,planet,identify_error,The maximum transit duration must be shorter than the minimum period,,,,,,,,,,
TOI-5959.01,planet,ok,,4.45787,5.424,288.2570,0.9767,0.3233,0.1737,0.0000,0.0004,0.8727,10
TOI-5094.01,planet,ok,,3.33718,1.632,798.1074,0.9489,0.7847,0.1534,0.0000,0.0003,0.8282,21
TOI-1194.01,planet,ok,,4.62156,1.632,2894.1198,0.5466,0.9680,0.1220,310.6646,0.0002,0.8690,22
TOI-1916.01,planet,ok,,16.77155,0.480,496.3577,0.7362,0.2380,nan,0.0000,0.0033,0.7986,3
TOI-1680.01,planet,ok,,4.80153,0.864,3528.2219,0.7777,0.1181,0.3213,329.7790,0.0006,0.7303,14
