toi,tid,label,period_d,status,n_sectors,baseline_days_approx,n_epochs_proxy
1721.01,51234631,planet,4.1250429,ok,4,109.6,26.56942064772223
1294.01,219015370,planet,3.9152737,ok,9,246.6,62.984102490714754
1068.01,6663331,planet,3.180362,ok,4,109.6,34.461485830858244
1905.01,429302040,planet,5.72226,ok,1,27.4,4.788317902367246
3666.01,346626688,planet,4.4085194,ok,2,54.8,12.430477225528369
3218.01,305739565,planet,3.3704313,ok,2,54.8,16.25904672793657
892.01,66561343,planet,10.6265837,ok,2,54.8,5.15687840486308
2193.01,401604346,planet,2.1223673,ok,6,164.39999999999998,77.4606732774294
4445.01,158388163,planet,4.2253498,ok,8,219.2,51.87736172754265
652.01,22221375,planet,3.9846589,ok,6,164.39999999999998,41.25823668369706
474.01,59843967,planet,2.5167257,ok,3,82.19999999999999,32.66148551667748
5688.01,193634953,planet,2.9479689,ok,4,109.6,37.17813983722827
767.01,229047362,planet,3.764873,ok,2,54.8,14.555603867647061
4486.01,99224131,planet,2.6915408,ok,4,109.6,40.72017039459331
654.01,35009898,planet,1.5275639,ok,7,191.79999999999998,125.55939558404069
1265.01,424865156,planet,2.2047452,ok,10,274.0,124.27739949269422
1266.01,467179528,planet,10.8948421,ok,9,246.6,22.634563928191305
6720.01,281541545,planet,4.1470359,ok,7,191.79999999999998,46.249901043779246
351.01,228381868,planet,3.4654953,ok,3,82.19999999999999,23.719553161708223
7458.01,169081296,planet,16.2385246,ok,7,191.79999999999998,11.811417891992477
537.01,234112540,planet,4.0379012,ok,3,82.19999999999999,20.357110273029956
5373.01,9155187,planet,4.1878375,ok,2,54.8,13.085512510931956
840.01,287563610,planet,3.7993182,ok,5,137.0,36.059101340866896
683.01,437248515,planet,3.4058895,ok,5,137.0,40.2244406343776
1180.01,158002130,planet,9.6867516,ok,15,411.0,42.42908427630167
1696.01,470381900,planet,2.5005291,ok,2,54.8,21.9153618328217
2184.01,176956893,planet,6.9067868,ok,29,794.5999999999999,115.04626145402374
7480.01,71841620,planet,5.084334,ok,1,27.4,5.38910307623378
4406.01,206541859,planet,30.083503,ok,6,164.39999999999998,5.464789123793196
1130.01,254113311,planet,8.34998,ok,4,109.6,13.125779941987883
5822.01,466390120,planet,1.5487245,ok,2,54.8,35.38395628144321
4737.01,142532090,planet,9.3202467,ok,1,27.4,2.9398363457482297
1778.01,39699648,planet,6.5273884,ok,2,54.8,8.39539439693829
5072.01,7059054,planet,5.185768,ok,5,137.0,26.418459136621614
217.01,260043723,not_planet,3.1385856,ok,34,931.5999999999999,296.8216001500803
1587.01,458914949,not_planet,12.5343031,ok,0,0.0,0.0
1093.01,382331352,not_planet,11.47606,ok,1,27.4,2.3875790123091023
1993.01,453464017,not_planet,3.9416903,ok,2,54.8,13.902665057171031
884.01,167031605,not_planet,2.7809,ok,1,27.4,9.852925311949368
1045.01,54044474,not_planet,3.7039994,ok,1,27.4,7.397409405627873
3217.01,309436531,not_planet,3.2136333,ok,1,27.4,8.52617503061099
2828.01,268042363,not_planet,4.6141256,ok,2,54.8,11.876573104121828
1944.01,461080504,not_planet,6.0988471,ok,2,54.8,8.985304779980465
297.01,115242351,not_planet,5.6748327,ok,3,82.19999999999999,14.485008518400903
221.01,316937670,not_planet,0.62425,ok,3,82.19999999999999,131.6780136163396
513.01,431999925,not_planet,1.445433,ok,2,54.8,37.9125147966042
909.01,364107753,not_planet,3.9043855,ok,6,164.39999999999998,42.106497936743175
995.01,317951248,not_planet,3.4438,ok,1,27.4,7.956327312852082
3890.01,18017227,not_planet,0.6203033,ok,1,27.4,44.17193975914685
645.01,157568289,not_planet,1.8361503,ok,2,54.8,29.84505135554535
7345.01,243283955,not_planet,8.407133,ok,0,0.0,0.0
1234.01,90504905,not_planet,2.2645386,ok,4,109.6,48.39838013801134
5915.01,329709756,not_planet,12.5482879,ok,3,82.19999999999999,6.550694457687729
1555.01,441732151,not_planet,2.09989,ok,37,1013.8,482.7871936149037
432.01,38686737,not_planet,2.24704,ok,2,54.8,24.38763884933067
3005.01,386297468,not_planet,2.0958074,ok,3,82.19999999999999,39.221161257470506
4858.01,262499797,not_planet,1.7509117,ok,11,301.4,172.13889198410175
1330.01,357457104,not_planet,1.748054,ok,8,219.2,125.39658385839338
3678.01,34551972,not_planet,4.8542148,ok,5,137.0,28.222896110818994
3153.01,466318137,not_planet,1.1216021,ok,2,54.8,48.85868170182634
951.01,449050247,not_planet,2.96845,ok,1,27.4,9.23040644107194
2863.01,412257781,not_planet,1.1894812,ok,2,54.8,46.07050535981569
3742.01,286696848,not_planet,8.9279009,ok,2,54.8,6.1380609634679075
1652.01,154867950,not_planet,0.6664948,ok,9,246.6,369.99538481020403
2228.01,61733521,not_planet,3.36296,ok,0,0.0,0.0
258.01,350445771,not_planet,3.1901569,ok,30,822.0,257.66757741601987
633.01,348755723,not_planet,4.503645,ok,2,54.8,12.167921761151245
6650.03,64837857,not_planet,8.9965133,ok,4,109.6,12.182497412636515
5283.01,399956873,not_planet,6.949428,ok,9,246.6,35.48493487521563
3979.01,444523623,not_planet,2.041659,ok,0,0.0,0.0
3420.01,293978434,not_planet,1.5971426,ok,0,0.0,0.0
1571.01,285677945,not_planet,1.2427,ok,2,54.8,44.097529572704595
3526.01,89876424,not_planet,1.5380702,ok,5,137.0,89.07265741186586
3621.01,435861696,not_planet,5.6902814,ok,1,27.4,4.81522759138063
236.01,9727392,not_planet,4.534451,ok,5,137.0,30.213139363508397
2365.01,344085117,not_planet,0.659752,ok,5,137.0,207.6537850586281
1342.01,256621916,not_planet,1.4136455,ok,3,82.19999999999999,58.14753415902359
1256.01,274762761,not_planet,1.0332441,ok,7,191.79999999999998,185.62893318239122
804.01,41227743,not_planet,1.4188153,ok,35,959.0,675.916026561033
1384.01,328167090,not_planet,0.7131492,ok,0,0.0,0.0
1313.01,11111899,not_planet,0.6193401,ok,5,137.0,221.2031806111053
1517.01,455962313,not_planet,2.25505,ok,0,0.0,0.0
1950.01,327663613,not_planet,1.41144,ok,1,27.4,19.41279827693703
1034.01,400595342,not_planet,3.6404389,ok,2,54.8,15.053129994847598
7114.01,365712006,not_planet,3.0436916,ok,0,0.0,0.0
2060.01,285542903,not_planet,2.2657506,ok,2,54.8,24.186245388172907
5424.01,436099179,not_planet,0.8999342,ok,2,54.8,60.89334086869906
1569.01,285666479,not_planet,1.71614,ok,2,54.8,31.932126749565885
3388.01,173860688,not_planet,0.845657,ok,0,0.0,0.0
2167.01,160162987,not_planet,23.0531698,ok,8,219.2,9.508453800570193
484.01,427348923,not_planet,4.728681,ok,2,54.8,11.58885532773304
5189.01,408549705,not_planet,9.5064017,ok,5,137.0,14.411341359580883
2205.01,260298958,not_planet,0.8891483,ok,25,685.0,770.4001683408718
1270.01,237200747,not_planet,14.3034613,ok,42,1150.8,80.45605017297456
5976.01,348054109,not_planet,0.4378024,ok,5,137.0,312.9265623029933
973.01,409459226,not_planet,1.27997,ok,2,54.8,42.81350344148691
1118.01,90919952,not_planet,4.13812,ok,0,0.0,0.0
643.01,432008938,not_planet,9.653456,ok,2,54.8,5.676723444950699
2240.01,98494121,not_planet,3.06555,ok,0,0.0,0.0
2603.01,176772671,not_planet,1.3326579,ok,4,109.6,82.24166156970966
1134.01,122220263,not_planet,18.6922101,ok,4,109.6,5.863405098362338
6279.01,449951606,not_planet,5.1681189,ok,0,0.0,0.0
1971.01,253132689,not_planet,3.217824,ok,2,54.8,17.0301421084559
1514.01,270238522,not_planet,1.36991,ok,0,0.0,0.0
4569.01,149126400,not_planet,1.2253159,ok,22,602.8,491.95476856213156
3347.01,131581531,not_planet,3.0591641,ok,1,27.4,8.956695065818797
1536.01,445137888,not_planet,2.013653,ok,1,27.4,13.607111056373663
2816.01,131581522,not_planet,3.059168,ok,1,27.4,8.956683647318485
2106.01,393911494,not_planet,0.6332593,ok,6,164.39999999999998,259.60929432856335
393.01,29960109,not_planet,2.49221,ok,2,54.8,21.98851621653071
4067.01,162577466,not_planet,3.6772391,ok,6,164.39999999999998,44.70745456829282
3313.01,327210623,not_planet,2.128423,ok,1,27.4,12.87338090219848
3525.01,373576942,not_planet,0.8912218,ok,5,137.0,153.72155393864918
1595.01,385105624,not_planet,1.7498117,ok,0,0.0,0.0
550.01,311183180,not_planet,13.24981,ok,2,54.8,4.135908363968992
4052.01,236775063,not_planet,0.7409429,ok,7,191.79999999999998,258.85935339956694
4157.01,461538935,not_planet,5.289835,ok,6,164.39999999999998,31.078474092292097
2838.01,81231810,not_planet,5.4521068,ok,1,27.4,5.025580203234463
1427.01,2041563029,not_planet,12.80758,ok,1,27.4,2.139358098875822
4738.01,247873937,not_planet,4.6498719,ok,2,54.8,11.785270901763981
1513.01,269509393,not_planet,1.76589,ok,0,0.0,0.0
1387.01,343442463,not_planet,0.78381,ok,1,27.4,34.957451423176536
1111.01,412014494,not_planet,11.4756978,ok,1,27.4,2.3876543699155266
478.01,172464366,not_planet,2.921685,ok,3,82.19999999999999,28.13444981235143
2061.01,327577308,not_planet,1.45655,ok,0,0.0,0.0
868.01,271596418,not_planet,0.556109,ok,32,876.8,1576.6693220214022
1336.01,92783821,not_planet,3.8615978,ok,6,164.39999999999998,42.57305097905327
3753.01,467783290,not_planet,3.6502527,ok,4,109.6,30.02531852109855
384.01,155995204,not_planet,9.30734,ok,2,54.8,5.887826167304514
4808.01,126772538,not_planet,1.4700596,ok,0,0.0,0.0
4423.01,344600402,not_planet,1.3875331,ok,0,0.0,0.0
2987.01,141631253,not_planet,1.6709011,ok,2,54.8,32.79667480020212
5899.01,126171392,not_planet,0.7835688,ok,0,0.0,0.0
662.01,54085154,not_planet,1.0014437,ok,2,54.8,54.720999293320226
2902.01,290302097,not_planet,2.9918201,ok,3,82.19999999999999,27.474914016387547
2951.01,304025075,not_planet,3.0290563,ok,4,109.6,36.18288639930528
5784.01,302814895,not_planet,8.6800186,ok,2,54.8,6.313350526691267
999.01,341186896,not_planet,1.5078959,ok,5,137.0,90.8550782583864
1624.01,461387302,not_planet,5.8089284,ok,0,0.0,0.0
1010.01,139853601,not_planet,0.6808702,ok,1,27.4,40.24261893089167
4300.01,266843799,not_planet,0.8062768,ok,0,0.0,0.0
1100.01,318608749,not_planet,20.0731588,ok,4,109.6,5.460027546835328
4715.01,268372005,not_planet,6.4274159,ok,0,0.0,0.0
586.01,131979339,not_planet,22.6384642,ok,4,109.6,4.84131781342305
2237.01,389238529,not_planet,0.49642,ok,0,0.0,0.0
6116.01,364408162,not_planet,3.1256662,ok,4,109.6,35.06452480434411
1947.01,460140752,not_planet,12.0077462,ok,2,54.8,4.563720708887068
1126.01,405862830,not_planet,1.6268695,ok,0,0.0,0.0
985.01,425220920,not_planet,8.76905,ok,0,0.0,0.0
5434.01,307377219,not_planet,4.1629444,ok,2,54.8,13.163759765804222
879.01,37084932,not_planet,6.58454,ok,1,27.4,4.1612625938941825
2947.01,374847873,not_planet,2.0391741,ok,1,27.4,13.436812482073012
4396.01,379723086,not_planet,7.4398211,ok,0,0.0,0.0
1159.01,48188920,not_planet,0.73774,ok,1,27.4,37.14045598720416
614.01,118021229,not_planet,0.88501,ok,1,27.4,30.960102145738468
3581.01,295413003,not_planet,3.0373017,ok,1,27.4,9.021165068982116
5456.01,87044036,not_planet,1.0711292,ok,2,54.8,51.160961721517815
3634.01,80478272,not_planet,5.0859432,ok,1,27.4,5.387397955997621
1186.01,289539327,not_planet,11.2464616,ok,28,767.1999999999999,68.21701147319081
3216.01,306547699,not_planet,2.6985136,ok,1,27.4,10.15373796893223
7051.01,18574158,not_planet,4.9131459,ok,0,0.0,0.0
1984.01,162246865,not_planet,0.5646193,ok,2,54.8,97.05654765963543
526.01,200593988,not_planet,7.6787462,ok,3,82.19999999999999,10.704872626210772
6181.01,199162630,not_planet,2.7649802,ok,3,82.19999999999999,29.728965147743185
